Material;Descripción;Centro;Subcategoría;ABC;Logística;CATMAN;Importe Vendido;Importe Año Anterior;Volumen Vendido;Volumen Año Anterior;Stock
METE0039;BOLSA MERCADO SAN JUAN PLASTICO PZ;S005;Mercancías de Tempo;B;PdC;NoClas; $9.329,22 ; $7.173,92 ;10.842;8.337;4698
FRVE0038;JITOMATE SALADET KG;S005;Verduras;A;CEDIS;Sebastián; $63.085,87 ; $57.699,41 ;4.034;3.835;392,05
PAEM0050;PAN BOLILLO TIRA 1PZ;S005;Bollería;A;PdC;Santiago; $28.022,93 ; $24.727,50 ;2.669;2.355;88
FRVE0043;LIMON SIN SEMILLA KG;S005;Frutas;A;CEDIS;Sebastián; $59.386,02 ; $38.393,10 ;2.005;1.697;191,38
FRVE0074;PLATANO KG;S005;Frutas;A;CEDIS;Sebastián; $44.537,07 ; $34.005,02 ;1.994;1.838;200,96
PANE0019;DONA MERCADO SAN JUAN SENCILLA 84/1PZ;S005;Pan Dulce;A;PdC;Santiago; $19.385,18 ; $18.234,37 ;1.745;1.790;590
FRVE0007;CEBOLLA BLANCA KG;S005;Verduras;A;CEDIS;Sebastián; $17.271,40 ; $39.808,47 ;1.585;1.238;158,945
TORT0010;TORTILLA DE MAIZ 1KG;S005;Tortillas Maíz;A;PdC;Santiago; $33.192,72 ; $37.821,00 ;1.413;1.801;25
FRVE0066;PAPA KG;S005;Verduras;A;CEDIS;Sebastián; $26.965,21 ; $32.547,07 ;1.331;1.089;125,28
CERV0011;CERVEZA OSCURA BARRILITO 24/325ML;S005;Cerveza No retornabl;B;PdC;Santiago; $13.913,26 ; $4.422,70 ;1.225;380;1267
CERV0022;CERVEZA CLARA ESTRELLA LATON 24/473ML;S005;Cerveza No retornabl;A;PdC;Santiago; $22.488,61 ; $18.207,14 ;1.162;880;-20
FRVE0081;TOMATILLO VERDE KG;S005;Verduras;A;CEDIS;Sebastián; $19.483,06 ; $24.107,85 ;1.101;906;225,085
FRVE0056;MELON CHINO KG;S005;Frutas;A;CEDIS;Sebastián; $21.739,68 ; $22.861,61 ;1.046;965;195,39
AZSU0001;AZÚCAR KG;S005;Azúcar Estándar;A;CEDIS;Sandra; $21.495,21 ; $25.217,45 ;1.000;870;253,712
